Binomial,Intro,Est,Spread,NoLocs,LG,BM,GT,WA,NBM,LS,LY,AFB,RL,OV
Eptesicus_furinalis,0,NA,NA,NA,NA,7.7,92.54,NA,1.34,1.86,2,NA,NA,NA
Eptesicus_fuscus,0,NA,NA,NA,20,17.49,52.14,34.18,3.21,1.85,1,NA,NA,NA
Eptesicus_hottentotus,0,NA,NA,NA,NA,30.33,NA,NA,NA,NA,NA,NA,NA,NA
Eptesicus_matroka,0,NA,NA,NA,NA,6.57,NA,NA,NA,1.22,NA,NA,NA,NA
Eptesicus_nasutus,0,NA,NA,NA,NA,7.91,NA,NA,NA,NA,NA,NA,NA,NA
Eptesicus_nilssonii,0,NA,NA,NA,15.5,10.72,NA,26,4.52,1.5,1,NA,NA,NA
Eptesicus_pachyotis,0,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA
Eptesicus_serotinus,0,NA,NA,NA,21,23.09,65.44,30.8,5.28,1.5,1,NA,NA,NA
Equus_asinus,1,1,1,40,47,164998.49,367,NA,29249.99,1,1,866.87,16288.13,0.022408957
Equus_burchellii,1,NA,NA,1,40,279160.65,371.2,294.11,32274.54,1,0.64,1277.5,13322.5,0.042808219
Equus_caballus,1,1,1,21,62,403598.53,338.97,341.76,37899.99,1,1,912.5,21717.5,0.016806723
Equus_grevyi,0,NA,NA,NA,31,408000.35,406,271.7,39999.99,1,0.5,1642.5,9672.5,0.075471698
Equus_hemionus,0,NA,NA,NA,38.8,235248.07,346,456.25,NA,1,0.67,1277.5,12884.5,0.04228151
Equus_kiang,0,NA,NA,NA,30.1,281138.63,260.76,NA,NA,NA,0.5,NA,NA,NA
Equus_zebra,1,0,NA,1,33.2,282462.13,363.49,181.46,29496.68,1,0.35,1633.37,10484.63,0.099465326
Eremodipus_lichtensteini,0,NA,NA,NA,NA,51,NA,NA,NA,4.86,1,NA,NA,NA
Erethizon_dorsatum,0,NA,NA,NA,18,7419.46,210.99,16.27,490.59,1,1,752.5083333,5817.491667,0.062741817
Erignathus_barbatus,0,NA,NA,NA,31.4525,279999.99,285.24,20.94,34536.93,1,1,2190,9290.1625,0.039288871
Erinaceus_amurensis,0,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erinaceus_concolor,1,1,NA,1,21.8,665.99,34.99,41.3,17.54,5.23,1.5,213.0576,7743.9424,0.03142241
Erinaceus_europaeus,1,1,1,35,14,777.95,36.98,40,15.54,4.64,1.5,349.79,4760.21,0.051118193
Erophylla_bombifrons,0,NA,NA,NA,NA,16.28,NA,NA,NA,NA,NA,NA,NA,NA
Erophylla_sezekorni,0,NA,NA,NA,NA,15.87,NA,NA,0.85,1,NA,NA,NA,NA
Erythrocebus_patas,1,1,NA,2,28.3,7966.3,167.2,211.79,621.67,1.01,0.97,1079.79,9249.71,0.040681131
Eschrichtius_robustus,0,NA,NA,NA,77,27324024.19,379.9,211.71,500000,1,0.5,2411.433333,25693.56667,0.028411781
Eubalaena_australis,0,NA,NA,NA,70,22999999.91,361.98,296.33,NA,1,NA,3102.5,22447.5,NA
Eubalaena_glacialis,0,NA,NA,NA,67,22999999.91,345.96,333.63,800000,1,0.31,3467.5,20987.5,0.056100982
Euderma_maculatum,0,NA,NA,NA,NA,16.17,NA,NA,3.4,1,NA,NA,NA,NA
Eudorcas_rufifrons,0,NA,NA,NA,14.5,26999.77,174.73,NA,NA,1,NA,NA,NA,NA
Eudorcas_thomsonii,0,NA,NA,NA,20,22907.43,166.14,93.25,2500,1,1.5,552.51,6747.49,0.036062793
Eulemur_albocollaris,0,NA,NA,NA,NA,2397.37,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur_coronatus,1,NA,NA,1,27,1699.85,124.04,197.8392,57.81,1.53,1,608.736,9246.264,0.039475403
Eulemur_fulvus,0,NA,NA,NA,37,2376.99,120.83,134.64,74.99,1.1,2,970.9,12534.1,0.01456028
Eulemur_macaco,0,NA,NA,NA,36.2,2470.43,127.49,143.28,60.5,1.04,1,868.7,12344.3,0.029568303
Eulemur_mongoz,1,1,NA,3,36.2,1771.13,129,151.13,59.48,1.11,1,916.15,12296.85,0.029682398
Eulemur_rubriventer,0,NA,NA,NA,20,2015.4,126.99,151.22,84.97,1.01,NA,NA,NA,NA
Eulemur_rufus,0,NA,NA,NA,NA,2394.62,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur_sanfordi,0,NA,NA,NA,NA,2394.03,NA,NA,NA,NA,NA,NA,NA,NA
Eumetopias_jubatus,1,0,NA,2,32.8,382466.74,342.1,351,18250,0.96,1,1706.895744,10265.10426,0.035557359
Eumops_auripendulus,0,NA,NA,NA,NA,28.49,NA,NA,NA,0.98,NA,NA,NA,NA
Eumops_bonariensis,0,NA,NA,NA,NA,12.22,NA,48.99,1.24,0.99,1,NA,NA,NA
Eumops_dabbenei,0,NA,NA,NA,NA,67.27,NA,NA,NA,NA,NA,NA,NA,NA
Eumops_glaucinus,0,NA,NA,NA,NA,36.2,NA,38.49,4.27,1.04,1,NA,NA,NA
Eumops_hansae,0,NA,NA,NA,NA,15.47,NA,NA,NA,NA,NA,NA,NA,NA
Eumops_perotis,0,NA,NA,NA,NA,50.97,NA,NA,7.53,0.99,1,NA,NA,NA
Eumops_underwoodi,0,NA,NA,NA,NA,58.67,NA,NA,NA,1,1,NA,NA,NA
Euneomys_chinchilloides,0,NA,NA,NA,NA,75.57,NA,NA,NA,NA,NA,NA,NA,NA
Euneomys_fossor,0,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA
Euneomys_mordax,0,NA,NA,NA,NA,81.99,NA,NA,NA,NA,NA,NA,NA,NA
Euneomys_petersoni,0,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA
Euoticus_elegantulus,0,NA,NA,NA,15,295.48,133.45,NA,NA,0.99,NA,NA,NA,NA
Euoticus_pallidus,0,NA,NA,NA,NA,277.37,NA,NA,NA,NA,NA,NA,NA,NA
Euphractus_sexcinctus,1,NA,NA,1,22.1,4731.16,64.66,28,104.98,1.73,2,273.9312,7792.5688,0.023419748
Eupleres_goudotii,0,NA,NA,NA,NA,2763.34,93.86,62.99,150,1,NA,NA,NA,NA
Euroscaptor_klossi,0,NA,NA,NA,NA,NA,34.99,NA,NA,4.5,1,NA,NA,NA
Euroscaptor_micrura,0,NA,NA,NA,3,60.46,NA,NA,NA,NA,NA,NA,NA,NA
Euroscaptor_mizura,0,NA,NA,NA,3,25.05,40,NA,NA,3,1,NA,NA,NA
Euryzygomatomys_spinosus,0,NA,NA,NA,NA,187.49,NA,NA,NA,0.97,NA,NA,NA,NA
Exilisciurus_concinnus,0,NA,NA,NA,NA,27.72,NA,NA,NA,1.94,NA,NA,NA,NA
Exilisciurus_exilis,0,NA,NA,NA,NA,21.75,NA,NA,NA,2.46,NA,NA,NA,NA
Exilisciurus_whiteheadi,0,NA,NA,NA,NA,24.91,NA,NA,NA,1.94,NA,NA,NA,NA
Falsistrellus_mackenziei,0,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
Falsistrellus_tasmaniensis,0,NA,NA,NA,NA,22.54,NA,NA,NA,NA,NA,NA,NA,NA
Felis_bieti,0,NA,NA,NA,NA,5486.95,NA,NA,NA,NA,NA,NA,NA,NA
Felis_catus,1,1,1,360,34,2884.8,62.99,50,113,4,1.5,NA,NA,NA
Felis_chaus,0,NA,NA,NA,20,7157.99,62.88,95.49,135.5,2.94,2,481.1916667,6818.808333,0.026764207
Felis_manul,0,NA,NA,NA,15.9,3050,76.08,NA,89,4.83,NA,365,5438.5,NA
Felis_margarita,0,NA,NA,NA,13.9,2823.36,63.61,NA,63.99,4.12,2,273.75,4799.75,0.038022814
Felis_nigripes,0,NA,NA,NA,15.6,1362.77,67.5,67.23,72,1.78,4,518.643072,5175.356928,0.017631634
Felis_silvestris,1,1,NA,4,28,4573.08,65.49,76.01,106.4,3.59,2,365,9855,0.018518519
Felovia_vae,0,NA,NA,NA,NA,205,NA,NA,NA,1,NA,NA,NA,NA
Feresa_attenuata,0,NA,NA,NA,NA,170000,NA,NA,NA,1,NA,NA,NA,NA
Feroculus_feroculus,0,NA,NA,NA,NA,35.99,NA,NA,NA,NA,NA,NA,NA,NA
Fossa_fossana,0,NA,NA,NA,21.4,1853.98,88.38,66.84,70,1,NA,727.5666667,7083.433333,NA
Funambulus_layardi,0,NA,NA,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA
Funambulus_palmarum,0,NA,NA,NA,NA,136.4,34,NA,NA,2.62,NA,NA,NA,NA
Funambulus_pennantii,1,NA,NA,2,NA,102.49,41.77,56,6.54,2.95,2.5,233.754624,NA,NA
Funambulus_sublineatus,0,NA,NA,NA,NA,70.93,NA,NA,NA,2,NA,NA,NA,NA
Funambulus_tristriatus,0,NA,NA,NA,NA,134.62,NA,125.69,5.87,2.64,NA,NA,NA,NA
Funisciurus_anerythrus,0,NA,NA,NA,10,223.54,NA,NA,NA,1.32,NA,NA,NA,NA
Funisciurus_bayonii,0,NA,NA,NA,NA,134.99,NA,NA,NA,NA,NA,NA,NA,NA
Funisciurus_carruthersi,0,NA,NA,NA,NA,276.85,NA,NA,NA,NA,NA,NA,NA,NA
Funisciurus_congicus,0,NA,NA,NA,9.5,112,54.23,49.99,9.9,2.44,2,NA,NA,NA
Funisciurus_isabella,0,NA,NA,NA,NA,109.31,NA,NA,NA,0.98,NA,NA,NA,NA
Funisciurus_lemniscatus,0,NA,NA,NA,NA,140.99,NA,NA,NA,1.8,NA,NA,NA,NA
Funisciurus_leucogenys,0,NA,NA,NA,NA,250,NA,NA,NA,0.97,NA,NA,NA,NA
Funisciurus_pyrropus,0,NA,NA,NA,9.5,243.18,NA,NA,NA,1.26,NA,NA,NA,NA
Funisciurus_substriatus,0,NA,NA,NA,NA,185.73,NA,NA,NA,NA,NA,NA,NA,NA
Furipterus_horrens,0,NA,NA,NA,NA,3.15,NA,NA,NA,1,NA,NA,NA,NA
Galago_alleni,0,NA,NA,NA,12,266.03,133,NA,23.93,1.29,1,341.27,4038.73,0.090374945
Galago_demidoff,0,NA,NA,NA,14,66.04,111,43.47,9.89,1.29,1.5,359.52,4750.48,0.051222894
Galago_gallarum,0,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA
Galago_matschiei,0,NA,NA,NA,NA,211.61,NA,NA,NA,0.99,NA,NA,NA,NA
Galago_moholi,0,NA,NA,NA,16.6,191.96,122.29,90.46,11.73,1.6,2,259.15,5799.85,0.031466331
Galago_senegalensis,1,0,NA,1,18.833,215.2,126.98,93.93,11.5,1.5,2,511,6363.045,0.028681237
Galago_thomasi,0,NA,NA,NA,NA,117.35,NA,NA,NA,NA,NA,NA,NA,NA
Galago_zanzibaricus,0,NA,NA,NA,16.5,147.35,120,59.27,14.5,1.29,2,365,5657.5,0.032258065
Galea_flavidens,0,NA,NA,NA,NA,450,53,NA,NA,NA,7,NA,NA,NA
Galea_musteloides,0,NA,NA,NA,3.5,386.64,53.9,31.13,37.39,2.6,7,66.30833333,1211.191667,0.043050872
Galea_spixii,0,NA,NA,NA,4.6,360.61,50.66,42.09,33.62,2.19,6.75,NA,NA,NA
Galemys_pyrenaicus,0,NA,NA,NA,5,60.17,30,NA,NA,3.54,2,730,1095,0.166666667
Galenomys_garleppi,0,NA,NA,NA,NA,59.3,NA,NA,NA,NA,NA,NA,NA,NA
Galeopterus_variegates,0,NA,NA,NA,0.2875,1112.2,59.99,NA,NA,1,NA,NA,NA,NA
Galerella_flavescens,0,NA,NA,NA,NA,750,NA,NA,NA,NA,NA,NA,NA,NA
Galerella_pulverulenta,0,NA,NA,NA,11.7,791.4,60.83333333,58.4,20.19,2.25,NA,NA,NA,NA
Galerella_sanguinea,0,NA,NA,NA,12.6,543.83,61.27,54.44,NA,2.5,2,NA,NA,NA
Galictis_cuja,0,NA,NA,NA,10.2,1000,NA,NA,NA,NA,NA,NA,NA,NA
Galictis_vittata,0,NA,NA,NA,12.5,2350,39.54166667,NA,NA,2,NA,NA,NA,NA
Galidia_elegans,0,NA,NA,NA,26,810,76.11,59.27,48.73,1,1,736.6916667,8753.308333,0.04169852
Galidictis_fasciata,0,NA,NA,NA,NA,549.99,NA,NA,NA,1,1,NA,NA,NA
Galidictis_grandidieri,0,NA,NA,NA,NA,1400,NA,NA,NA,1,1,NA,NA,NA
Gazella_bennettii,0,NA,NA,NA,NA,18916.67,NA,NA,NA,NA,NA,NA,NA,NA
Gazella_cuvieri,0,NA,NA,NA,17.9,17500,170.6375,NA,NA,1.46,NA,348.575,6184.925,NA
Gazella_dorcas,0,NA,NA,NA,23.7,15635.95,172,61.35,1573.21,1.22,1,836.45,7814.05,0.046710733
Gazella_gazella,0,NA,NA,NA,18.3,21306.83,180,86.17,2124.99,1.22,1.5,547.5,6132,0.03968254
Gazella_leptoceros,0,NA,NA,NA,14.6,24645.75,167.29,NA,4615.3,1,NA,319.37,5009.63,NA
Gazella_saudiya,0,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA
Gazella_spekei,0,NA,NA,NA,12.67,20000,178.59,NA,1250,1,NA,511,4113.55,NA
Gazella_subgutturosa,0,NA,NA,NA,20,26981.37,159.68,116.41,2317.85,1.39,1,563.0808,6736.9192,0.054179067
Genetta_abyssinica,0,NA,NA,NA,NA,1405.48,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_angolensis,0,NA,NA,NA,NA,1859.64,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_cristata,0,NA,NA,NA,34,1863.23,NA,NA,NA,2.5,2,NA,NA,NA
Genetta_genetta,1,1,1,5,34,1756.17,74.18,71.8,77.75,2.29,2,1480.445952,10929.55405,0.016697845
Genetta_johnstoni,0,NA,NA,NA,NA,2225,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_maculata,0,NA,NA,NA,20,1950,NA,NA,NA,2.12,NA,NA,NA,NA
Genetta_piscivora,0,NA,NA,NA,NA,1648.05,NA,NA,NA,0.96,NA,NA,NA,NA
Genetta_servalina,0,NA,NA,NA,NA,1175.84,NA,NA,NA,1.5,NA,NA,NA,NA
Genetta_thierryi,0,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_tigrina,0,NA,NA,NA,21.3,2066.57,71.48,87.77,85.5,2.76,2,NA,NA,NA
Genetta_victoriae,0,NA,NA,NA,NA,2743.69,NA,NA,NA,NA,NA,NA,NA,NA
Geocapromys_brownii,0,NA,NA,NA,13.5,1497.48,120,2.17,NA,1.73,2,365,4562.5,0.04
Geocapromys_ingrahami,0,NA,NA,NA,6,733.52,109.21,5.84,76.68,1.04,NA,NA,NA,NA
Geogale_aurita,0,NA,NA,NA,2.083333333,6.69,57.64,34.86,0.71,3.4,2,NA,NA,NA
Geomys_arenarius,0,NA,NA,NA,NA,206,NA,NA,NA,4.71,2,NA,NA,NA
Geomys_attwateri,0,NA,NA,NA,NA,144.06,NA,NA,NA,1.89,NA,NA,NA,NA
Geomys_breviceps,0,NA,NA,NA,NA,136.47,NA,NA,NA,2.53,1.7,NA,NA,NA
Geomys_bursarius,0,NA,NA,NA,12,203.75,18.5,34.9,5.11,3.14,1,119.5375,4260.4625,0.08567145
Geomys_knoxjonesi,0,NA,NA,NA,NA,172.49,23.98,24.36,NA,NA,NA,NA,NA,NA
Geomys_personatus,0,NA,NA,NA,2,397,NA,NA,NA,3.09,2,NA,NA,NA
Geomys_pinetis,0,NA,NA,NA,NA,201.15,28.2875,30.41666667,5.13,1.68,2,178.5458333,NA,NA
Geomys_texensis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Geomys_tropicalis,0,NA,NA,NA,7,349.99,NA,30.24,NA,4,NA,NA,NA,NA
Georychus_capensis,0,NA,NA,NA,11.2,188.36,43.74,21.83,8.12,5.94,2,304.1666667,3783.833333,0.048231511
Geoxus_valdivianus,0,NA,NA,NA,NA,30.8,NA,NA,NA,3.4,NA,NA,NA,NA
Gerbilliscus_afra,0,NA,NA,NA,5.7,92.13,23.3,NA,4.5,3.92,6.5,152.0833333,1928.416667,0.029119146
Gerbilliscus_boehmi,0,NA,NA,NA,NA,NA,NA,NA,NA,4.06,NA,NA,NA,NA
Gerbilliscus_brantsii,0,NA,NA,NA,NA,89.41,22.64,28.78,5.49,2.74,4,167.2916667,NA,NA
Gerbilliscus_guineae,0,NA,NA,NA,NA,102.5,NA,NA,NA,NA,NA,NA,NA,NA
Gerbilliscus_inclusus,0,NA,NA,NA,NA,118.5,23.15,21.99,NA,NA,NA,125,NA,NA
Gerbilliscus_kempi,0,NA,NA,NA,NA,100.83,25.33,NA,NA,4,NA,NA,NA,NA
Gerbilliscus_leucogaster,0,NA,NA,NA,NA,73.75,28.37,27.89,2.79,4.5,NA,NA,NA,NA
Gerbilliscus_nigricaudus,0,NA,NA,NA,NA,123,NA,NA,NA,4.44,5,NA,NA,NA
Gerbilliscus_phillipsi,0,NA,NA,NA,NA,127.07,NA,NA,NA,NA,NA,NA,NA,NA
Gerbilliscus_robustus,0,NA,NA,NA,NA,95.99,NA,NA,NA,5.26,NA,NA,NA,NA
Gerbilliscus_validus,0,NA,NA,NA,5,121,25,NA,NA,3.94,2,98.85416667,1726.145833,0.105726872
Gerbillurus_paeba,0,NA,NA,NA,NA,25.91,26,22.84,2.09,3.64,NA,75.7375,NA,NA
Gerbillurus_setzeri,0,NA,NA,NA,NA,38.29,21.29166667,25.35,2.3,3,NA,NA,NA,NA
Gerbillurus_tytonis,0,NA,NA,NA,NA,29.79,NA,29,1.89,4.4,NA,NA,NA,NA
Gerbillurus_vallinus,0,NA,NA,NA,NA,35.24,NA,25.35,2,3.87,NA,NA,NA,NA
Gerbillus_amoenus,0,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA
Gerbillus_andersoni,0,NA,NA,NA,NA,27.5,NA,NA,NA,3.89,NA,NA,NA,NA
Gerbillus_cheesmani,0,NA,NA,NA,NA,28,NA,NA,NA,8,NA,NA,NA,NA
Gerbillus_gerbillus,0,NA,NA,NA,5.9,26.99,NA,NA,NA,4.14,NA,NA,NA,NA
Gerbillus_gleadowi,0,NA,NA,NA,NA,26.01,20,NA,1.9,3,NA,NA,NA,NA
Gerbillus_henleyi,0,NA,NA,NA,NA,8,NA,NA,NA,4,NA,NA,NA,NA
Gerbillus_latastei,0,NA,NA,NA,NA,NA,NA,NA,NA,4.86,NA,NA,NA,NA
Gerbillus_nanus,0,NA,NA,NA,4.5,25.5,20.97,27.79,NA,3.16,3,NA,NA,NA
Gerbillus_nigeriae,0,NA,NA,NA,NA,29.7,NA,NA,NA,NA,NA,NA,NA,NA
Gerbillus_perpallidus,0,NA,NA,NA,5.5,52.22,20.22,NA,2.24,4.65,NA,NA,NA,NA
Gerbillus_pusillus,0,NA,NA,NA,NA,12.55,NA,NA,NA,NA,NA,NA,NA,NA
Gerbillus_pyramidum,0,NA,NA,NA,8.2,42.8,22.14,27.5,2.5,3.3,5,78.77916667,2914.220833,0.025049577
Giraffa_camelopardalis,0,NA,NA,NA,39.5,964654.73,455.25,212.91,55244.9,1.29,1,1825,12592.5,0.028985507
Glaucomys_sabrinus,0,NA,NA,NA,14.2,137.53,40,65,5.64,3,1,238.1625,4944.8375,0.073814357
Glaucomys_volans,0,NA,NA,NA,19,71.9,39.49,57.23,3.61,3.13,2,329.7166667,6605.283333,0.027629398
Glauconycteris_argentata,0,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA
Glauconycteris_beatrix,0,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA
Glauconycteris_gleni,0,NA,NA,NA,NA,10.81,NA,NA,NA,NA,NA,NA,NA,NA
Glauconycteris_humeralis,0,NA,NA,NA,NA,5.49,NA,NA,NA,NA,NA,NA,NA,NA
Glauconycteris_kenyacola,0,NA,NA,NA,NA,7.17,NA,NA,NA,NA,NA,NA,NA,NA
Glauconycteris_poensis,0,NA,NA,NA,NA,6.91,NA,NA,NA,NA,NA,NA,NA,NA
Glauconycteris_variegata,0,NA,NA,NA,NA,11.25,NA,NA,NA,1.12,NA,NA,NA,NA
Glironia_venusta,0,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA
Glirulus_japonicus,0,NA,NA,NA,7,27,31.4,38,NA,4,1.5,NA,NA,NA
Glis_glis,1,1,0,4,12,128.09,28.19,27.84,2,5.17,1,319.37,4060.63,0.08988753
Glischropus_tylopus,0,NA,NA,NA,NA,4.59,NA,NA,1.25,1,2,NA,NA,NA
Globicephala_macrorhynchus,0,NA,NA,NA,63,725999.99,452,729.99,NA,0.97,0.24,3230.25,19764.75,0.076946753
Globicephala_melas,0,NA,NA,NA,60,800000,479.06,608.33,180000,1,0.2,2470.441667,19429.55833,0.093929052
Glossophaga_commissarisi,0,NA,NA,NA,NA,9.15,NA,NA,NA,0.98,2,NA,NA,NA
Glossophaga_leachii,0,NA,NA,NA,NA,10.24,NA,NA,NA,0.98,2,NA,NA,NA
Glossophaga_longirostris,0,NA,NA,NA,NA,13.32,NA,NA,NA,0.98,2,NA,NA,NA
Glossophaga_morenoi,0,NA,NA,NA,NA,8.54,NA,NA,NA,1,NA,NA,NA,NA
Glossophaga_soricina,0,NA,NA,NA,11,9.97,107.97,32.3,NA,1,2,NA,NA,NA
Glyphonycteris_daviesi,0,NA,NA,NA,NA,18.61,NA,NA,NA,0.98,NA,NA,NA,NA
Glyphonycteris_sylvestris,0,NA,NA,NA,NA,8.91,NA,NA,NA,NA,NA,NA,NA,NA
Golunda_ellioti,0,NA,NA,NA,NA,60.73,NA,NA,NA,4.83,NA,NA,NA,NA
Gorilla_beringei,0,NA,NA,NA,NA,149325.19,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla_gorilla,0,NA,NA,NA,55.4,112588.99,257,920.35,2095.89,1.05,0.26,3650,16571,0.084717045
Gracilinanus_aceramarcae,0,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA
Gracilinanus_agilis,0,NA,NA,NA,6.1,22.03,NA,NA,NA,12,NA,NA,NA,NA
Gracilinanus_dryas,0,NA,NA,NA,NA,18.53,NA,NA,NA,NA,NA,NA,NA,NA
Gracilinanus_emiliae,0,NA,NA,NA,NA,7.59,NA,NA,NA,NA,NA,NA,NA,NA
Gracilinanus_marica,0,NA,NA,NA,NA,23.8,NA,NA,NA,5.99,NA,NA,NA,NA
Gracilinanus_microtarsus,0,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA
Grammomys_cometes,0,NA,NA,NA,NA,45,NA,22.5,NA,2.9,2.75,NA,NA,NA
Grammomys_dolichurus,0,NA,NA,NA,4.416666667,41.85,23.99,23.87,4.19,3.11,NA,73,1539.083333,NA
Grammomys_ibeanus,0,NA,NA,NA,NA,41.19,NA,NA,NA,NA,NA,NA,NA,NA
Grammomys_kuru,0,NA,NA,NA,NA,53,25.24583333,NA,NA,1,NA,NA,NA,NA
Grammomys_macmillani,0,NA,NA,NA,NA,37.01,NA,NA,NA,NA,NA,NA,NA,NA
Grammomys_minnae,0,NA,NA,NA,NA,35.99,NA,NA,NA,NA,NA,NA,NA,NA
Grammomys_poensis,0,NA,NA,NA,NA,50.03,24.65,NA,4.99,1.97,NA,NA,NA,NA
Grampus_griseus,0,NA,NA,NA,42.5,387500,365,NA,NA,0.97,NA,NA,NA,NA
Graomys_domorum,0,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA
Graomys_edithae,0,NA,NA,NA,NA,40.4,NA,NA,NA,NA,NA,NA,NA,NA
Graomys_griseoflavus,0,NA,NA,NA,NA,68.32,NA,NA,NA,6.97,NA,NA,NA,NA
Graphiurus_christyi,0,NA,NA,NA,NA,NA,NA,NA,NA,4.99,NA,NA,NA,NA
Graphiurus_crassicaudatus,0,NA,NA,NA,NA,NA,NA,NA,NA,3.16,NA,NA,NA,NA
Graphiurus_kelleni,0,NA,NA,NA,NA,10.5,NA,NA,NA,4.41,NA,NA,NA,NA
Graphiurus_lorraineus,0,NA,NA,NA,NA,NA,NA,NA,NA,4.99,NA,NA,NA,NA
Graphiurus_murinus,0,NA,NA,NA,6.9,20.07,23.99,NA,3.49,3,2,NA,NA,NA
Graphiurus_nagtglasii,0,NA,NA,NA,NA,30,NA,NA,NA,3.11,NA,NA,NA,NA
Graphiurus_ocularis,0,NA,NA,NA,NA,68.8,NA,NA,NA,4.99,2,NA,NA,NA
Graphiurus_platyops,0,NA,NA,NA,7.3,46.1,NA,NA,NA,5.17,NA,NA,NA,NA
Graphiurus_surdus,0,NA,NA,NA,NA,NA,NA,NA,NA,4.99,NA,NA,NA,NA
Gulo_gulo,0,NA,NA,NA,19.5,12792.49,161.73,83.64,86.02,2.84,0.5,813.95,6303.55,0.115807759
Gymnobelideus_leadbeateri,0,NA,NA,NA,14.1,137.32,18.43,119.32,NA,1.54,2,365,4781.5,0.038167939
Gymnuromys_roberti,0,NA,NA,NA,NA,97.5,NA,NA,NA,1.94,1,NA,NA,NA
Habromys_chinanteco,0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
Habromys_lepturus,0,NA,NA,NA,NA,84.99,NA,NA,NA,1.9,NA,NA,NA,NA
Habromys_lophurus,0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
Habromys_simulatus,0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
Halichoerus_grypus,0,NA,NA,NA,46.6725,197570.01,349.79,18.37,13995.35,0.96,0.93,1825,15210.4625,0.025802839
Handleyomys_fuscatus,0,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA
Handleyomys_intectus,0,NA,NA,NA,NA,60.5,NA,NA,NA,NA,NA,NA,NA,NA
Hapalemur_alaotrensis,0,NA,NA,NA,NA,1616.83,NA,NA,NA,NA,NA,NA,NA,NA
Hapalemur_aureus,0,NA,NA,NA,NA,1562.41,142.5,NA,NA,1.01,1,NA,NA,NA
Hapalemur_griseus,0,NA,NA,NA,23.3,916,141.24,136.29,45.2,1.5,1.09,996.45,7508.05,0.044600447
Hapalomys_longicaudatus,0,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA
Haplonycteris_fischeri,0,NA,NA,NA,10,18.25,174.73,76.04,2.74,1,1,410.62,3239.38,0.112675882
Harpiocephalus_harpia,0,NA,NA,NA,NA,13.65,NA,NA,NA,NA,NA,NA,NA,NA
Harpyionycteris_celebensis,0,NA,NA,NA,NA,116.77,NA,NA,NA,0.98,NA,NA,NA,NA
Harpyionycteris_whiteheadi,0,NA,NA,NA,NA,135.48,132.74,111.6,NA,1,2,365,NA,NA
Heimyscus_fumosus,0,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA
Helarctos_malayanus,0,NA,NA,NA,35.9,57075.78,98.34,90.36,324.99,1.1,NA,2372.5,10731,NA
Heliophobius_argenteocinereus,0,NA,NA,NA,3.1,159.46,87,NA,7,2.46,1.5,NA,NA,NA
Heliosciurus_gambianus,0,NA,NA,NA,NA,248.36,NA,NA,NA,2.91,NA,NA,NA,NA
Heliosciurus_mutabilis,0,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA
Heliosciurus_punctatus,0,NA,NA,NA,NA,173.85,NA,NA,NA,NA,NA,NA,NA,NA
Heliosciurus_rufobrachium,0,NA,NA,NA,8.9,332.88,NA,NA,NA,2,NA,NA,NA,NA
Heliosciurus_ruwenzorii,0,NA,NA,NA,NA,291,NA,NA,NA,2.91,NA,NA,NA,NA
Heliosciurus_undulatus,0,NA,NA,NA,NA,347.33,NA,NA,NA,NA,NA,NA,NA,NA
